"x.dashed","y.dashed","x.solid","y.solid"
0,0.1789,0,0.1133
1,0.1826,1,0.1169
2,0.1943,2,0.1149
3,0.1947,3,0.1225
4,0.2027,4,0.1231
5,0.2042,5,0.1251
6,0.2074,6,0.1352
7,0.2214,7,0.1288
8,0.2197,8,0.1271
9,0.2246,9,0.1339
10,0.2334,10,0.1344
11,0.2275,11,0.1409
12,0.2421,12,0.1442
13,0.2402,13,0.1503
14,0.2493,14,0.1606
15,0.2542,15,0.1544
16,0.2525,16,0.1663
17,0.2627,17,0.1705
18,0.2699,18,0.1759
19,0.2763,19,0.1767
20,0.2764,20,0.186
21,0.2788,21,0.1857
22,0.2871,22,0.1956
23,0.2868,23,0.1969
24,0.2981,24,0.2089
25,0.3006,25,0.2123
26,0.3136,26,0.2285
27,0.3028,27,0.2284
28,0.3188,28,0.2393
29,0.3226,29,0.2461
30,0.3323,30,0.2547
31,0.3329,31,0.2593
32,0.3501,32,0.2714
33,0.338,33,0.2793
34,0.3425,34,0.2923
35,0.3521,35,0.2947
36,0.3628,36,0.303
37,0.3561,37,0.3141
38,0.3698,38,0.3256
39,0.3696,39,0.3336
40,0.3849,40,0.3519
41,0.3884,41,0.3509
42,0.3873,42,0.3626
43,0.3889,43,0.3761
44,0.3988,44,0.3917
45,0.4051,45,0.3992
46,0.4137,46,0.3978
47,0.4135,47,0.4198
48,0.4156,48,0.4265
49,0.4311,49,0.4372
50,0.437,50,0.4517
51,0.4413,51,0.4531
52,0.4502,52,0.4658
53,0.4539,53,0.4718
54,0.4587,54,0.4765
55,0.456,55,0.4908
56,0.4705,56,0.4924
57,0.4726,57,0.5179
58,0.4803,58,0.5155
59,0.4816,59,0.5279
60,0.4831,60,0.5371
61,0.5,61,0.5363
62,0.4999,62,0.548
63,0.5107,63,0.5571
64,0.5136,64,0.5626
65,0.51,65,0.5673
66,0.5255,66,0.5889
67,0.5223,67,0.5932
68,0.5406,68,0.5924
69,0.5394,69,0.6051
70,0.544,70,0.6073
71,0.539,71,0.6171
72,0.5558,72,0.6271
73,0.5586,73,0.6333
74,0.569,74,0.6409
75,0.5743,75,0.6481
76,0.5762,76,0.6635
77,0.5812,77,0.6626
78,0.5852,78,0.6719
79,0.5872,79,0.6832
80,0.5991,80,0.6806
81,0.5982,81,0.6905
82,0.6065,82,0.6938
83,0.6187,83,0.7078
84,0.6121,84,0.7085
85,0.6211,85,0.7189
86,0.6257,86,0.7279
87,0.6367,87,0.7226
88,0.6388,88,0.7301
89,0.6291,89,0.7375
90,0.649,90,0.7465
91,0.6511,91,0.7414
92,0.6567,92,0.7548
93,0.6648,93,0.7638
94,0.6596,94,0.7598
95,0.664,95,0.7761
96,0.6726,96,0.7721
97,0.6742,97,0.7787
98,0.6803,98,0.783
99,0.6927,99,0.7856
100,0.6968,100,0.7956
101,0.6998,101,0.7977
102,0.7055,102,0.8015
103,0.7044,103,0.8016
104,0.7127,104,0.8116
105,0.7103,105,0.8138
106,0.7178,106,0.8186
107,0.7249,107,0.8203
108,0.7292,108,0.8207
109,0.7381,109,0.8325
110,0.7384,110,0.8507
111,0.7379,111,0.8681
112,0.7426,112,0.9022
