"x.dashed","y.dashed","x.solid","y.solid"
0,0.0078,0,0.0201
1,0.0075,1,0.0179
2,0.007,2,0.0212
3,0.0064,3,0.019
4,0.0085,4,0.0183
5,0.0085,5,0.0216
6,0.008,6,0.0217
7,0.0082,7,0.021
8,0.0095,8,0.0187
9,0.0094,9,0.0199
10,0.0083,10,0.0162
11,0.0068,11,0.0191
12,0.0092,12,0.0207
13,0.0089,13,0.022
14,0.0085,14,0.0222
15,0.0086,15,0.0215
16,0.0094,16,0.0178
17,0.0108,17,0.0185
18,0.0083,18,0.0188
19,0.0093,19,0.019
20,0.0075,20,0.021
21,0.0111,21,0.0195
22,0.01,22,0.0203
23,0.0091,23,0.0209
24,0.0119,24,0.0221
25,0.0097,25,0.0227
26,0.0107,26,0.0213
27,0.0112,27,0.0202
28,0.0107,28,0.0231
29,0.0107,29,0.0211
30,0.0105,30,0.0216
31,0.0114,31,0.0239
32,0.0134,32,0.0238
33,0.0133,33,0.0212
34,0.0112,34,0.0215
35,0.0113,35,0.022
36,0.0125,36,0.0202
37,0.0116,37,0.0228
38,0.0127,38,0.0253
39,0.0113,39,0.0214
40,0.013,40,0.024
41,0.0126,41,0.0221
42,0.0137,42,0.0223
43,0.0146,43,0.0231
44,0.0113,44,0.0217
45,0.0136,45,0.0227
46,0.0152,46,0.0224
47,0.0137,47,0.0237
48,0.016,48,0.0245
49,0.0168,49,0.0251
50,0.0127,50,0.0221
51,0.0141,51,0.0253
52,0.0157,52,0.0247
53,0.0161,53,0.0234
54,0.0144,54,0.0236
55,0.0163,55,0.0257
56,0.0157,56,0.0254
57,0.016,57,0.0248
58,0.0186,58,0.0214
59,0.0155,59,0.024
60,0.0136,60,0.0219
61,0.016,61,0.0243
62,0.0189,62,0.0245
63,0.0185,63,0.0228
64,0.0169,64,0.0235
65,0.0165,65,0.0238
66,0.0189,66,0.0215
67,0.0184,67,0.0205
68,0.0189,68,0.0244
69,0.0183,69,0.0238
70,0.0181,70,0.0231
71,0.0204,71,0.0259
72,0.019,72,0.0247
73,0.0177,73,0.0251
74,0.0189,74,0.0258
75,0.0188,75,0.0248
76,0.0207,76,0.0253
77,0.0188,77,0.0253
78,0.0189,78,0.0242
79,0.02,79,0.0264
80,0.0189,80,0.0269
81,0.0201,81,0.0229
82,0.0212,82,0.0264
83,0.0219,83,0.0245
84,0.0219,84,0.0268
85,0.0248,85,0.0271
86,0.0229,86,0.0247
87,0.0236,87,0.0258
88,0.0218,88,0.0277
89,0.0255,89,0.0263
90,0.0262,90,0.0278
91,0.0251,91,0.0276
92,0.0236,92,0.0249
93,0.0236,93,0.0264
94,0.0246,94,0.0241
95,0.0245,95,0.0252
96,0.0262,96,0.0266
97,0.0288,97,0.026
98,0.023,98,0.0275
99,0.0272,99,0.028
100,0.028,100,0.0278
101,0.0238,101,0.0295
102,0.028,102,0.0255
103,0.0259,103,0.0247
104,0.0265,104,0.0281
105,0.0265,105,0.0303
106,0.0277,106,0.028
107,0.0306,107,0.029
108,0.0302,108,0.0264
109,0.0297,109,0.0323
110,0.0316,110,0.0273
111,0.0282,111,0.0264
112,0.0283,112,0.0291
113,0.0325,113,0.03
114,0.0314,114,0.0293
115,0.0288,115,0.0292
116,0.032,116,0.0276
117,0.0315,117,0.0299
118,0.0346,118,0.0327
119,0.0383,119,0.0332
120,0.0342,120,0.0279
121,0.0317,121,0.0289
122,0.0339,122,0.0309
123,0.0352,123,0.0326
124,0.0355,124,0.0338
125,0.0348,125,0.0296
126,0.0353,126,0.0326
127,0.0364,127,0.0301
128,0.0366,128,0.032
129,0.0372,129,0.0295
130,0.0378,130,0.0314
131,0.038,131,0.0342
132,0.0362,132,0.0331
133,0.041,133,0.0286
134,0.0373,134,0.0349
135,0.0385,135,0.0345
136,0.0408,136,0.0289
137,0.0426,137,0.0339
138,0.0409,138,0.0318
139,0.0435,139,0.0328
140,0.0417,140,0.0354
141,0.0421,141,0.0337
142,0.0413,142,0.0313
143,0.0421,143,0.0322
144,0.0436,144,0.0305
145,0.0486,145,0.0343
146,0.0436,146,0.0317
147,0.0475,147,0.0358
148,0.0484,148,0.0363
149,0.045,149,0.0367
150,0.046,150,0.0334
151,0.0422,151,0.0374
152,0.0493,152,0.0353
153,0.0501,153,0.0403
154,0.0483,154,0.0351
155,0.0533,155,0.0377
156,0.0488,156,0.0336
157,0.0508,157,0.0374
158,0.0517,158,0.0357
159,0.0576,159,0.0388
160,0.0499,160,0.0366
161,0.0499,161,0.0367
162,0.0514,162,0.0349
163,0.0517,163,0.0374
164,0.0554,164,0.0397
165,0.0524,165,0.0385
166,0.0542,166,0.0333
167,0.0557,167,0.0378
168,0.0589,168,0.0347
169,0.0541,169,0.0365
170,0.0573,170,0.0376
171,0.0608,171,0.0368
172,0.0581,172,0.037
173,0.0551,173,0.0363
174,0.059,174,0.0359
175,0.0556,175,0.035
176,0.0627,176,0.0389
177,0.0622,177,0.043
178,0.0586,178,0.0392
179,0.0612,179,0.0393
180,0.0611,180,0.0394
181,0.0642,181,0.0399
182,0.0612,182,0.0419
183,0.0641,183,0.04
184,0.0651,184,0.0407
185,0.0631,185,0.0392
186,0.068,186,0.0411
187,0.0674,187,0.0418
188,0.0707,188,0.0439
189,0.0685,189,0.042
190,0.0691,190,0.0417
191,0.0677,191,0.0437
192,0.0687,192,0.0412
193,0.0707,193,0.0425
194,0.0688,194,0.0449
195,0.0702,195,0.0418
196,0.0709,196,0.0454
197,0.071,197,0.0452
198,0.0739,198,0.0427
199,0.0718,199,0.0465
200,0.0707,200,0.0419
201,0.0788,201,0.0435
202,0.0737,202,0.049
203,0.0738,203,0.0454
204,0.073,204,0.0485
205,0.079,205,0.0467
206,0.0796,206,0.0474
207,0.0766,207,0.0516
208,0.079,208,0.0463
209,0.0824,209,0.046
210,0.0768,210,0.0473
211,0.0844,211,0.0512
212,0.0853,212,0.0447
213,0.0878,213,0.0499
214,0.0826,214,0.0448
215,0.0862,215,0.0488
216,0.0875,216,0.0474
217,0.0839,217,0.0464
218,0.0898,218,0.0542
219,0.0847,219,0.0497
220,0.0873,220,0.0545
221,0.091,221,0.0496
222,0.0942,222,0.0521
223,0.0912,223,0.0467
224,0.0973,224,0.0553
225,0.0899,225,0.0558
226,0.0953,226,0.0499
227,0.0909,227,0.0523
228,0.1015,228,0.0553
229,0.0947,229,0.0562
230,0.0976,230,0.0578
231,0.0983,231,0.0539
232,0.1006,232,0.0515
233,0.1001,233,0.0534
234,0.1014,234,0.0543
235,0.1021,235,0.0544
236,0.1073,236,0.0551
237,0.0998,237,0.0602
238,0.1015,238,0.057
239,0.104,239,0.0561
240,0.1018,240,0.0636
241,0.1069,241,0.0602
242,0.103,242,0.0593
243,0.1057,243,0.0585
244,0.1104,244,0.0582
245,0.1094,245,0.0611
246,0.1082,246,0.0646
247,0.1102,247,0.0621
248,0.1107,248,0.0637
249,0.1189,249,0.0598
250,0.1213,250,0.06
251,0.1173,251,0.0672
252,0.1226,252,0.064
253,0.1174,253,0.0659
254,0.1182,254,0.0694
255,0.121,255,0.0707
256,0.1243,256,0.0699
257,0.1204,257,0.0655
258,0.1315,258,0.0684
259,0.1252,259,0.0692
260,0.1175,260,0.0722
261,0.124,261,0.0698
262,0.1267,262,0.0745
263,0.1322,263,0.0758
264,0.1257,264,0.0711
265,0.1278,265,0.0719
266,0.1321,266,0.0741
267,0.1369,267,0.0736
268,0.1307,268,0.0761
269,0.1383,269,0.077
270,0.134,270,0.0786
271,0.1379,271,0.0828
272,0.1371,272,0.0776
273,0.1368,273,0.0777
274,0.1334,274,0.0812
275,0.1402,275,0.079
276,0.1428,276,0.0822
277,0.1429,277,0.0828
278,0.1436,278,0.0853
279,0.1454,279,0.0828
280,0.1491,280,0.0813
281,0.1499,281,0.0897
282,0.1489,282,0.0882
283,0.1498,283,0.0865
284,0.1501,284,0.0887
285,0.146,285,0.0871
286,0.1574,286,0.0935
287,0.1562,287,0.0913
288,0.1534,288,0.0942
289,0.1567,289,0.0924
290,0.1547,290,0.0985
291,0.1614,291,0.0978
292,0.1583,292,0.0982
293,0.1597,293,0.1012
294,0.1538,294,0.0944
295,0.1622,295,0.0991
296,0.1653,296,0.1016
297,0.1619,297,0.0977
298,0.1666,298,0.1033
299,0.1691,299,0.1057
300,0.1665,300,0.1029
301,0.1685,301,0.109
302,0.1705,302,0.1047
303,0.1745,303,0.1119
304,0.1654,304,0.1077
305,0.1719,305,0.1061
306,0.1729,306,0.11
307,0.1804,307,0.109
308,0.1869,308,0.1166
309,0.1821,309,0.113
310,0.1773,310,0.1176
311,0.18,311,0.1156
312,0.1787,312,0.1191
313,0.1904,313,0.1206
314,0.1873,314,0.1195
315,0.175,315,0.1207
316,0.187,316,0.1273
317,0.1894,317,0.1239
318,0.1786,318,0.1294
319,0.1925,319,0.1293
320,0.1975,320,0.1308
321,0.1959,321,0.1339
322,0.1932,322,0.1265
323,0.1952,323,0.135
324,0.1956,324,0.1377
325,0.1998,325,0.1342
326,0.1941,326,0.1378
327,0.2065,327,0.1371
328,0.2034,328,0.1433
329,0.2177,329,0.1436
330,0.2066,330,0.1436
331,0.2043,331,0.1462
332,0.211,332,0.1444
333,0.2085,333,0.1525
334,0.1987,334,0.1478
335,0.2162,335,0.1546
336,0.2085,336,0.1478
337,0.2184,337,0.1543
338,0.2211,338,0.1522
339,0.2152,339,0.1632
340,0.221,340,0.1528
341,0.2201,341,0.1587
342,0.221,342,0.1664
343,0.2264,343,0.1669
344,0.2346,344,0.1677
345,0.2239,345,0.1651
346,0.226,346,0.1733
347,0.2346,347,0.1719
348,0.2316,348,0.1758
349,0.2358,349,0.1661
350,0.233,350,0.178
351,0.231,351,0.1759
352,0.237,352,0.1817
353,0.2443,353,0.1824
354,0.2377,354,0.1784
355,0.2467,355,0.1827
356,0.2489,356,0.1835
357,0.2463,357,0.1895
358,0.2521,358,0.1856
359,0.2483,359,0.1868
360,0.2468,360,0.197
361,0.25,361,0.1953
362,0.245,362,0.1927
363,0.2607,363,0.2006
364,0.2579,364,0.1994
365,0.2624,365,0.2002
366,0.2611,366,0.2081
367,0.2623,367,0.2006
368,0.2666,368,0.2061
369,0.2561,369,0.22
370,0.2729,370,0.2075
371,0.2632,371,0.2114
372,0.2647,372,0.2131
373,0.2701,373,0.2058
374,0.2752,374,0.2155
375,0.2701,375,0.2119
376,0.2794,376,0.2171
377,0.2721,377,0.2256
378,0.275,378,0.2317
379,0.2774,379,0.2277
380,0.2904,380,0.2359
381,0.2663,381,0.227
382,0.2765,382,0.2303
383,0.2908,383,0.2309
384,0.2903,384,0.242
385,0.2864,385,0.2401
386,0.2837,386,0.2388
387,0.2969,387,0.2336
388,0.292,388,0.2489
389,0.2869,389,0.2432
390,0.2941,390,0.2427
391,0.298,391,0.2426
392,0.3012,392,0.2454
393,0.3007,393,0.2516
394,0.3033,394,0.2542
395,0.2951,395,0.2509
396,0.2958,396,0.2611
397,0.3036,397,0.2591
398,0.311,398,0.2672
399,0.3058,399,0.2716
400,0.3103,400,0.2632
401,0.3106,401,0.2699
402,0.3173,402,0.2694
403,0.3181,403,0.2705
404,0.3152,404,0.2694
405,0.3121,405,0.2718
406,0.321,406,0.2826
407,0.3282,407,0.2735
408,0.3232,408,0.2782
409,0.3169,409,0.2837
410,0.3251,410,0.2864
411,0.3296,411,0.2879
412,0.3286,412,0.2908
413,0.3325,413,0.2935
414,0.3268,414,0.2929
415,0.3347,415,0.288
416,0.3361,416,0.2976
417,0.3393,417,0.2961
418,0.3464,418,0.3011
419,0.3389,419,0.3034
420,0.3496,420,0.3041
421,0.3407,421,0.307
422,0.344,422,0.3087
423,0.3497,423,0.3102
424,0.352,424,0.3147
425,0.3579,425,0.3148
426,0.3472,426,0.3121
427,0.3532,427,0.3259
428,0.3516,428,0.3057
429,0.3608,429,0.3228
430,0.3619,430,0.3207
431,0.3589,431,0.3214
432,0.3687,432,0.3242
433,0.3625,433,0.3234
434,0.3687,434,0.3264
435,0.3746,435,0.3301
436,0.368,436,0.3309
437,0.3785,437,0.3322
438,0.3697,438,0.3375
439,0.3794,439,0.339
440,0.3847,440,0.3456
441,0.3749,441,0.341
442,0.3797,442,0.3386
443,0.3897,443,0.3408
444,0.3935,444,0.3446
445,0.3884,445,0.3493
446,0.3938,446,0.3474
447,0.3881,447,0.3575
448,0.3873,448,0.3636
449,0.3998,449,0.3618
450,0.3875,450,0.3548
451,0.4022,451,0.3633
452,0.4059,452,0.351
453,0.4187,453,0.3716
454,0.4011,454,0.3673
455,0.4014,455,0.3706
456,0.407,456,0.3634
457,0.404,457,0.3749
458,0.4103,458,0.3641
459,0.409,459,0.3674
460,0.42,460,0.381
461,0.425,461,0.3727
462,0.4195,462,0.3744
463,0.4139,463,0.3778
464,0.4345,464,0.3821
465,0.4249,465,0.3791
466,0.4217,466,0.3812
467,0.4205,467,0.3893
468,0.4319,468,0.396
469,0.4245,469,0.3994
470,0.4257,470,0.3938
471,0.4322,471,0.3945
472,0.436,472,0.3908
473,0.4383,473,0.4019
474,0.4317,474,0.3985
475,0.4435,475,0.4037
476,0.4453,476,0.4042
477,0.4444,477,0.4033
478,0.4487,478,0.407
479,0.4409,479,0.4087
480,0.4504,480,0.411
481,0.4608,481,0.4036
482,0.4498,482,0.4127
483,0.446,483,0.4117
484,0.4546,484,0.4198
485,0.4555,485,0.4206
486,0.4555,486,0.4225
487,0.4594,487,0.4189
488,0.4729,488,0.421
489,0.4574,489,0.4123
490,0.4731,490,0.4286
491,0.4753,491,0.4288
